sample	species	family
NG-A6305_V3V4a_10_Dolycoris_baccarum_libLAS3176	Dolycoris_baccarum	Pentatomidea
NG-A6305_V3V4a_11_Dolycoris_baccarum_libLAS3177	Dolycoris_baccarum	Pentatomidea
NG-A6305_V3V4a_12_Scantius_aegyptius_libLAS3178	Scantius_aegyptius	Pyrrhocoridae
NG-A6305_V3V4a_13_Scantius_aegyptius_libLAS3179	Scantius_aegyptius	Pyrrhocoridae
NG-A6305_V3V4a_14_Scantius_aegyptius_libLAS3180	Scantius_aegyptius	Pyrrhocoridae
NG-A6305_V3V4a_15_Syromastus_rhombeus_libLAS3181	Syromastus_rhombeus	Coreidae
NG-A6305_V3V4a_16_Pyrrhocoris_apterus_libLAS3182	Pyrrhocoris_apterus	Pyrrhocoridae
NG-A6305_V3V4a_17_Pyrrhocoris_apterus_libLAS3183	Pyrrhocoris_apterus	Pyrrhocoridae
NG-A6305_V3V4a_18_Pyrrhocoris_apterus_libLAS3184	Pyrrhocoris_apterus	Pyrrhocoridae
NG-A6305_V3V4a_19_Pyrrhocoris_apterus_libLAS3185	Pyrrhocoris_apterus	Pyrrhocoridae
NG-A6305_V3V4a_1_Carpocoris_sp_libLAS3167	Carpocoris_sp	Pentatomidea
NG-A6305_V3V4a_20_Graphosoma_semipunctatum_libLAS3186	Graphosoma_semipunctatum	Pentatomidea
NG-A6305_V3V4a_21_Graphosoma_semipunctatum_libLAS3187	Graphosoma_semipunctatum	Pentatomidea
NG-A6305_V3V4a_22_Palomena_prasina_libLAS3188	Palomena_prasina	Pentatomidea
NG-A6305_V3V4a_23_Nezara_viridula_libLAS3189	Nezara_viridula	Pentatomidea
NG-A6305_V3V4a_24_Nezara_viridula_libLAS3190	Nezara_viridula	Pentatomidea
NG-A6305_V3V4a_25_Nezara_viridula_libLAS3191	Nezara_viridula	Pentatomidea
NG-A6305_V3V4a_26_Graphosoma_italicum_libLAS3192	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_27_Graphosoma_italicum_libLAS3193	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_28_Graphosoma_italicum_libLAS3194	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_29_Graphosoma_italicum_libLAS3195	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_2_Carpocoris_sp_libLAS3168	Carpocoris_sp	Pentatomidea
NG-A6305_V3V4a_30_Graphosoma_italicum_libLAS3196	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_31_Graphosoma_italicum_libLAS3197	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_32_Graphosoma_italicum_libLAS3198	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_33_Graphosoma_italicum_libLAS3199	Graphosoma_italicum	Pentatomidea
NG-A6305_V3V4a_34_Halyomorpha_halys_libLAS3200	Halyomorpha_halys	Pentatomidea
NG-A6305_V3V4a_35_Halyomorpha_halys_libLAS3201	Halyomorpha_halys	Pentatomidea
NG-A6305_V3V4a_36_Halyomorpha_halys_libLAS3202	Halyomorpha_halys	Pentatomidea
NG-A6305_V3V4a_37_Lygaeus_equestris_libLAS3203	Lygaeus_equestris	Lygaeidae
NG-A6305_V3V4a_38_Lygaeus_equestris_libLAS3204	Lygaeus_equestris	Lygaeidae
NG-A6305_V3V4a_39_Lygaeus_equestris_libLAS3205	Lygaeus_equestris	Lygaeidae
NG-A6305_V3V4a_3_Carpocoris_sp_libLAS3169	Carpocoris_sp	Pentatomidea
NG-A6305_V3V4a_40_Lygaeus_equestris_libLAS3206	Lygaeus_equestris	Lygaeidae
NG-A6305_V3V4a_41_Lygaeus_equestris_libLAS3207	Lygaeus_equestris	Lygaeidae
NG-A6305_V3V4a_42_Picromerus_bidens_libLAS3208	Picromerus_bidens	Pentatomidea
NG-A6305_V3V4a_43_Dolycoris_baccarum_libLAS3209	Dolycoris_baccarum	Pentatomidea
NG-A6305_V3V4a_44_Pentatomid_sp_libLAS3210	Pentatomid_sp	Pentatomidea
NG-A6305_V3V4a_45_Rhaphigaster_nebulosa_libLAS3211	Rhaphigaster_nebulosa	Pentatomidea
NG-A6305_V3V4a_4_Acrosternum_hegeeri_libLAS3170	Acrosternum_hegeeri	Pentatomidea
NG-A6305_V3V4a_5_Eurydema_ornata_libLAS3171	Eurydema_ornata	Pentatomidea
NG-A6305_V3V4a_6_Eurydema_ornata_libLAS3172	Eurydema_ornata	Pentatomidea
NG-A6305_V3V4a_7_Eurydema_ornata_libLAS3173	Eurydema_ornata	Pentatomidea
NG-A6305_V3V4a_8_Eurydema_oleracea_libLAS3174	Eurydema_oleracea	Pentatomidea
NG-A6305_V3V4a_9_Dolycoris_baccarum_libLAS3175	Dolycoris_baccarum	Pentatomidea
