name	samplebis	species	family	Pantoea-Erwinia	Serratia	Sphingobium	Commensalibacter	Hungatella	Gordonibacter	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Coriobacterium	Sphingobacterium	Sodalis	Zavarzinia	Burkholderia-Caballeronia-Paraburkholderia	Wolbachia	Achromobacter	Klebsiella	Variovorax	Chryseobacterium	Lactococcus	Stenotrophomonas	Delftia	Clostridioides	Acinetobacter	Massilia	Pseudacidovorax	Azospirillum	Enterococcus	Pseudomonas	Nubsella	Devosia	Sphingomonas	Bifidobacterium	Hydrocarboniphaga	Brevundimonas	Sediminibacterium	Asaia	Cronobacter	Myxococcus	Dyadobacter	Staphylococcus	Gluconobacter	Bdellovibrio	Hafnia-Obesumbacterium	Peredibacter	Methylobacillus	Asticcacaulis	Comamonas	Falsirhodobacter	Enterobacter	Shinella	Hymenobacter	Ochrobactrum	Flavobacterium	Rheinheimera	Rosenbergiella	Rhodopseudomonas	Roseomonas	Nocardioides	Pedobacter	Novosphingobium	Rickettsiella	Altererythrobacter	Kaistia	Methylobacterium-Methylorubrum	Pseudochrobactrum	Rhodovarius	Bosea	Candidatus Paracaedibacter	Fibrella	Phenylobacterium	Caulobacter	Xanthobacter	Aquabacterium	Spiroplasma	Lactobacillus	Frateuria	Gemmobacter	Paracoccus	Pseudoxanthomonas	Saccharibacillus	Spirosoma	Acidovorax	Escherichia-Shigella	Enhydrobacter	Kineococcus	Tatumella	Curvibacter	Paenibacillus	Exiguobacterium	Curtobacterium	Peptoniphilus	Bacillus	Corynebacterium	Cellvibrio	Aureimonas	Planomicrobium	Taibaiella	Sphingoaurantiacus	Glutamicibacter	Herminiimonas	Lacibacter	Rathayibacter	Kosakonia	Fibrisoma	Paenochrobactrum	Streptomyces	Leucobacter	Diplorickettsia	Larkinella	Tepidimonas	Alcaligenes	Verticiella	Microbacterium	Parafrigoribacterium	Rummeliibacillus	Blastomonas	Pediococcus	Micrococcus	Rhodococcus	Candidatus Endoecteinascidia	Pseudocitrobacter	Reyranella	Yokenella	Deinococcus	Emticicia	Schumannella	Microterricola	Pseudarthrobacter	Arsenophonus	Saccharopolyspora	Actinomycetospora	Microvirga	Rubellimicrobium	Edaphobaculum	Kocuria	Mucilaginibacter	Ellin6055	Shimwellia	Mycobacterium	Terrimonas	Cellulomonas	Actinomyces	Rothia	Herbaspirillum	Pseudoflavitalea	Pseudokineococcus	Skermanella	Brevibacterium	Noviherbaspirillum	Brachyspira	Pigmentiphaga	Pluralibacter	Aerococcus	Aeromonas	Dietzia	Janibacter	Clavibacter	Advenella	Blastococcus	Camelimonas	Kluyvera	Legionella	Terribacillus	Arsenicibacter	Neochlamydia	Methylopila	Caedibacter	Flavisolibacter	Apibacter	Hyphomicrobium	MN 122.2a	Modestobacter	Nakamurella	Rhizorhapis	Rhodobacter	Salmonella	Chryseoglobus	Frigoribacterium	Phaselicystis	Solirubrobacter	Adhaeribacter	Agromyces	Aminobacter	Anaeromyxobacter	Arthrobacter	Lysinibacillus	Solimonas	Tianweitania	Galbitalea	Niabella	Pseudolabrys	Afipia	Ancylobacter	Cloacibacterium	Enterobacillus	Herbiconiux	P3OB-42	Pseudorhodoferax	Quadrisphaera	Sphingopyxis	Xylophilus	1174-901-12	Aeromicrobium	Anaerococcus	Brachybacterium	Bradyrhizobium	Chelatococcus	Dechloromonas	Holospora	Marmoricola	Mesorhizobium	Micromonospora	Porphyrobacter	Psychrobacillus	Psychroglaciecola	Rhodoferax	Rickettsia	Streptococcus	Acaricomes	Agaricicola	Candidatus Ovatusbacter	Jatrophihabitans	Luteimonas	Methylophilus	Patulibacter	Tsukamurella	Archangium	Cnuella	Ferruginibacter	Gemmatimonas	Hansschlegelia	Kribbella	Lawsonella	Phreatobacter	Romboutsia	Schlegelella	Solibacillus	Wigglesworthia	Actinobacillus	Aquicella	Beggiatoa	Caenimonas	Craurococcus-Caldovatus	Ethanoligenens	Izhakiella	Marisediminicola	Roseisolibacter	Rubrivirga	Ruminiclostridium	Albibacter	Alloprevotella	Azonexus	Bacteroides	Bauldia	Bordetella	Chishuiella	Chthonobacter	Clostridium sensu stricto 1	Corticibacterium	Coxiella	Dokdonella	Duganella	Edaphobacter	Erythrobacter	Gibbsiella	Gordonia	Janthinobacterium	Jeotgalicoccus	Kineosporia	Klenkia	Kushneria	Leptotrichia	Longimicrobium	Lysinimonas	Lysobacter	Meiothermus	Methylocella	Moraxella	Mycoplasma	Neorhizobium	Pajaroellobacter	Procabacter	Propionibacterium	Pseudorhodoplanes	Raoultibacter	Roseococcus	Rubritepida	Rufibacter	Snodgrassella	Sporocytophaga	Tardiphaga	Thiodictyon	Variibacter	Yaniella	Yersinia	ZOR0006	
Ah	Acrosternum hegeeri (4-Ah)	Acrosternum_hegeeri	Pentatomidea	124705	0	97	0	0	0	113	0	22	0	5	0	0	3	3	192	4	0	101	16	0	44	0	0	21	0	9	5	5	9	0	5	84	0	0	0	3	0	4	0	1	0	2	3	6	0	0	76	19	0	0	0	0	0	4	0	1	0	1	0	0	2	0	0	14	1	0	0	6	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Db	Dolycoris baccarum (11-Db)	Dolycoris_baccarum	Pentatomidea	76583	1	104	0	0	0	182	0	5	0	0	0	0	0	0	103	90	0	400	686	0	457	22	0	0	0	0	9	0	66	0	76	161	90	0	0	0	0	4	3	0	0	4	1	1	2	0	7	0	3	0	0	214	0	0	6	7	0	3	0	2	0	1	0	1	0	2	2	0	36	0	31	0	0	0	0	0	7	0	0	13	0	4	0	0	151	2	1	0	0	0	1	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	7	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	6	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eol	Eurydema oleracea (8-Eol)	Eurydema_oleracea	Pentatomidea	80169	0	4	0	0	0	24	0	6	0	24	0	0	0	0	16	11	0	20	71	0	95	6	28	0	0	8	0	2	56	0	7	3	0	0	0	3	0	1	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Eor	Eurydema ornata (5-Eor)	Eurydema_ornata	Pentatomidea	113107	0	160	0	0	1	181	0	15	1	116	0	0	0	0	38	74	0	319	325	0	544	4	74	0	1	63	24	6	299	0	9	35	12	0	0	6	6	0	0	7	0	8	4	5	0	0	34	13	0	0	45	0	0	13	0	0	10	0	0	0	1	1	0	7	4	0	0	7	16	67	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gi	Graphosoma italicum (28-Gi)	Graphosoma_italicum	Pentatomidea	55970	26370	1558	0	0	0	937	1	204	1	4	0	0	7608	0	116	586	0	112	51	0	315	23	9	0	2	55	60	2	33	0	98	62	0	0	0	0	16	34	0	2	0	15	178	10	0	0	0	0	0	1	42	0	0	22	0	0	35	3	0	0	0	2	0	1	6	0	0	12	2	1	188	0	0	0	0	3	11	0	0	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Gs	Graphosoma semipunctatum (21-Gs)	Graphosoma_semipunctatum	Pentatomidea	104075	408	118	0	0	0	226	0	74	0	7	0	0	0	0	4	40	0	30	169	0	425	9	116	0	3	13	22	1	133	0	7	0	44	0	0	0	23	0	0	5	0	1	6	0	302	0	0	4	0	0	3	0	0	0	1	0	2	1	0	0	1	2	0	1	3	0	0	0	2	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	3	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Hh	Halyomorpha halys (36-Hh)	Halyomorpha_halys	Pentatomidea	832	4	395	32137	0	0	8895	0	530	0	1338	0	0	2072	41586	3198	387	0	3	56	0	11	23	1627	31	0	17	1967	168	349	0	886	569	0	1810	0	13	0	4	499	391	0	22	61	61	0	0	491	1	12	3	27	0	0	43	67	3	15	10	0	0	127	0	0	4	9	187	268	45	51	10	0	0	0	0	0	47	12	0	129	4	10	66	0	0	0	2	3	0	0	40	2	72	4	0	0	0	0	0	0	0	4	43	0	0	3	0	0	9	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Le	Lygaeus equestris (38-Le)	Lygaeus_equestris	Lygaeidae	108	4	531	0	0	0	6758	0	101	3	45729	0	1043	5	0	11315	569	0	546	6928	0	1325	526	18	319	1	431	291	745	526	0	971	436	12	0	0	1808	14	1926	7	16	42	101	560	200	8	12	20	12	13	5	20	2	333	147	19	250	5	30	0	0	0	21	0	59	14	10	0	25	38	6	0	78	0	0	0	17	13	5	0	0	0	8	2	13	0	2	20	0	0	8	6	0	3	11	4	0	6	3	0	11	2	0	0	13	4	0	0	5	0	0	0	6	18	0	0	4	5	0	0	8	3	0	0	0	0	4	0	1	1	11	5	0	0	0	4	0	4	0	7	3	22	0	0	0	3	4	11	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	2	3	0	10	0	0	0	0	0	0	0	3	0	0	0	2	9	9	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Nv	Nezara viridula (25-Nv)	Nezara_viridula	Pentatomidea	49059	27730	4582	0	0	0	994	0	4	0	0	0	0	11	0	1418	239	0	54	166	1	16	10	18	11072	0	14	14	913	209	0	360	402	0	0	0	47	199	30	1	1	0	8	123	114	35	0	0	175	4	21	0	0	0	31	7	31	0	4	0	0	0	3	0	14	89	0	8	19	19	1	0	0	0	0	0	3	6	0	11	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Pp	Palomena prasina (22-Pp)	Palomena_prasina	Pentatomidea	11727	2	66	0	1	0	639	0	54	75014	246	0	0	0	0	1343	130	0	932	1662	0	300	1	197	4	106	84	98	2	39	0	80	105	2	0	0	70	0	377	0	23	0	19	46	21	52	0	0	0	5	0	0	0	0	0	2	0	0	43	0	0	9	2	0	7	3	0	0	0	2	2	1	0	0	0	0	36	0	0	2	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
