name	samplebis	species	family	Total_nb_reads	Pantoea-Erwinia	Serratia	Sphingobium	Commensalibacter	Hungatella	Gordonibacter	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Coriobacterium	Sphingobacterium	Sodalis	Zavarzinia	Burkholderia-Caballeronia-Paraburkholderia	Wolbachia	Achromobacter	Klebsiella	Variovorax	Chryseobacterium	Lactococcus	Stenotrophomonas	Delftia	Clostridioides	Acinetobacter	Massilia	Pseudacidovorax	Azospirillum	Enterococcus	Pseudomonas	Nubsella	Devosia	Sphingomonas	Bifidobacterium	Hydrocarboniphaga	Brevundimonas	Sediminibacterium	Asaia	Cronobacter	Myxococcus	Dyadobacter	Staphylococcus	Gluconobacter	Bdellovibrio	Hafnia-Obesumbacterium	Peredibacter	Methylobacillus	Asticcacaulis	Comamonas	Falsirhodobacter	Enterobacter	Shinella	Hymenobacter	Ochrobactrum	Flavobacterium	Rheinheimera	Rosenbergiella	Rhodopseudomonas	Roseomonas	Nocardioides	Pedobacter	Novosphingobium	Rickettsiella	Altererythrobacter	Kaistia	Methylobacterium-Methylorubrum	Pseudochrobactrum	Rhodovarius	Candidatus Paracaedibacter	Fibrella	Phenylobacterium	Caulobacter	Xanthobacter	Aquabacterium	Spiroplasma	Lactobacillus	Frateuria	Gemmobacter	Pseudoxanthomonas	Saccharibacillus	Spirosoma	Escherichia-Shigella	Kineococcus	Curvibacter	Curtobacterium	Peptoniphilus
Ah	Acrosternum hegeeri (4-Ah)	Acrosternum_hegeeri	Pentatomidea	125604	124705	0	0	0	0	0	113	0	0	0	0	0	0	0	0	192	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Db	Dolycoris baccarum (11-Db)	Dolycoris_baccarum	Pentatomidea	79664	76583	0	104	0	0	0	182	0	0	0	0	0	0	0	0	103	0	0	400	686	0	457	0	0	0	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0
Eol	Eurydema oleracea (8-Eol)	Eurydema_oleracea	Pentatomidea	80587	80169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eor	Eurydema ornata (5-Eor)	Eurydema_ornata	Pentatomidea	115695	113107	0	160	0	0	0	181	0	0	0	116	0	0	0	0	0	0	0	319	325	0	544	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gi	Graphosoma italicum (32-Gi)	Graphosoma_italicum	Pentatomidea	94600	80056	6330	326	0	0	0	433	0	627	0	0	0	720	0	0	0	187	335	236	107	0	2033	122	0	0	1484	1033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gs	Graphosoma semipunctatum (21-Gs)	Graphosoma_semipunctatum	Pentatomidea	106306	104075	408	118	0	0	0	226	0	0	0	0	0	0	0	0	0	0	0	0	169	0	425	0	116	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hh	Halyomorpha halys (36-Hh)	Halyomorpha_halys	Pentatomidea	101791	832	0	395	32137	0	0	8895	0	530	0	1338	0	0	2072	41586	3198	387	0	0	0	0	0	0	1627	0	0	0	1967	168	349	0	886	569	0	1810	0	0	0	0	499	391	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	187	268	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0
Le	Lygaeus equestris (37-Le)	Lygaeus_equestris	Lygaeidae	80593	0	0	2368	0	0	0	12382	0	0	0	24205	0	0	0	0	10323	8953	0	825	4797	0	1049	1472	119	747	0	290	262	2409	800	0	399	2276	0	0	0	2791	0	931	0	0	0	105	366	193	0	0	0	263	0	0	0	0	442	149	0	158	0	0	0	0	0	0	0	0	0	0	169	123	180	0	0	0	0	0	0	0	0	0	0	0	0	0
Nv	Nezara viridula (25-Nv)	Nezara_viridula	Pentatomidea	98312	49059	27730	4582	0	0	0	994	0	0	0	0	0	0	0	0	1418	239	0	0	166	0	0	0	0	11072	0	0	0	913	209	0	360	402	0	0	0	0	199	0	0	0	0	0	123	114	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pp	Palomena prasina (22-Pp)	Palomena_prasina	Pentatomidea	93572	11727	0	0	0	0	0	639	0	0	75014	246	0	0	0	0	1343	130	0	932	1662	0	300	0	197	0	106	0	0	0	0	0	0	105	0	0	0	0	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
