	Ah	Db	Eol	Eor	Gi	Gs	Hh	Le	Nv	Pp	Pb	Pa	Rn	Sa	Sr
Ah	 0     	 0,04   	 0,06   	 0,05   	 0,03   	 0,02   	 0,05   	 0,10   	 0,01   	 0,02   	 0,04   	 0,09   	 0,04   	 0,09   	 0,07   
Db	 0,04   	 0     	 0,09   	 0,08   	 0,04   	 0,02   	 0,05   	 0,09   	 0,04   	 0,03   	 0,04   	 0,08   	 0,04   	 0,07   	 0,06   
Eol	 0,06   	 0,09   	 0     	 0,06   	 0,09   	 0,08   	 0,10   	 0,16   	 0,07   	 0,08   	 0,09   	 0,14   	 0,09   	 0,14   	 0,11   
Eor	 0,05   	 0,08   	 0,06   	 0     	 0,07   	 0,06   	 0,09   	 0,14   	 0,05   	 0,07   	 0,08   	 0,13   	 0,07   	 0,13   	 0,11   
Gi	 0,03   	 0,04   	 0,09   	 0,07   	 0     	 0,01   	 0,05   	 0,10   	 0,04   	 0,05   	 0,05   	 0,09   	 0,04   	 0,09   	 0,09   
Gs	 0,02   	 0,02   	 0,08   	 0,06   	 0,01   	 0     	 0,05   	 0,10   	 0,02   	 0,04   	 0,04   	 0,09   	 0,04   	 0,08   	 0,07   
Hh	 0,05   	 0,05   	 0,10   	 0,09   	 0,05   	 0,05   	 0     	 0,09   	 0,05   	 0,06   	 0,07   	 0,09   	 0,07   	 0,08   	 0,08   
Le	 0,10   	 0,09   	 0,16   	 0,14   	 0,10   	 0,10   	 0,09   	 0     	 0,11   	 0,10   	 0,12   	 0,09   	 0,11   	 0,08   	 0,09   
Nv	 0,01   	 0,04   	 0,07   	 0,05   	 0,04   	 0,02   	 0,05   	 0,11   	 0     	 0,02   	 0,05   	 0,09   	 0,04   	 0,09   	 0,07   
Pp	 0,02   	 0,03   	 0,08   	 0,07   	 0,05   	 0,04   	 0,06   	 0,10   	 0,02   	 0     	 0,05   	 0,09   	 0,05   	 0,09   	 0,07   
Pb	 0,04   	 0,04   	 0,09   	 0,08   	 0,05   	 0,04   	 0,07   	 0,12   	 0,05   	 0,05   	 0     	 0,09   	 0,04   	 0,09   	 0,08   
Pa	 0,09   	 0,08   	 0,14   	 0,13   	 0,09   	 0,09   	 0,09   	 0,09   	 0,09   	 0,09   	 0,09   	 0     	 0,09   	 0,01   	 0,05   
Rn	 0,04   	 0,04   	 0,09   	 0,07   	 0,04   	 0,04   	 0,07   	 0,11   	 0,04   	 0,05   	 0,04   	 0,09   	 0     	 0,09   	 0,08   
Sa	 0,09   	 0,07   	 0,14   	 0,13   	 0,09   	 0,08   	 0,08   	 0,08   	 0,09   	 0,09   	 0,09   	 0,01   	 0,09   	 0     	 0,05   
Sr	 0,07   	 0,06   	 0,11   	 0,11   	 0,09   	 0,07   	 0,08   	 0,09   	 0,07   	 0,07   	 0,08   	 0,05   	 0,08   	 0,05   	 0     
